latitude,longitude,brightness,scan,track,acq_date,year_month,month_name,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,nearest_district
7.46435,81.5326,312.95,1.45,1.15,1/03/2001,2001-03,March,528,Terra,MODIS,47.5,6.03,295.9,8.5,D,0,Ampara
7.246866667,81.8389,317.4333333,1.1,1.033333333,1/06/2001,2001-06,June,509.6666667,Terra,MODIS,9.333333333,6.03,297.6666667,9.766666667,D,0.666666667,Ampara
7.289066667,81.60516667,322.7,1,1,1/07/2001,2001-07,July,517,Terra,MODIS,60.33333333,6.03,303.1666667,9.1,D,0,Ampara
7.212225,81.780175,322.2375,1.0625,1.0125,1/08/2001,2001-08,August,657.625,Terra,MODIS,60.5,6.03,294.7125,9.7875,D,0,Ampara
7.323686957,81.76043043,330.3434783,1.530434783,1.191304348,1/09/2001,2001-09,September,505.5652174,Terra,MODIS,70.39130435,6.03,301.6391304,23.76521739,D,0,Ampara
7.1097,81.71445,317.3,2.7,1.5,1/10/2001,2001-10,October,481.5,Terra,MODIS,36,6.03,297.45,26.5,D,0,Ampara
7.3923,81.3717,316.1,1.4,1.2,1/03/2002,2002-03,March,524,Terra,MODIS,58,6.03,294.7,11.6,D,0,Ampara
7.4526,81.3673,325.8,1,1,1/04/2002,2002-04,April,506,Terra,MODIS,71,6.03,302.6,11.1,D,0,Ampara
7.29975,81.67045,317.875,1.175,1.075,1/05/2002,2002-05,May,501,Terra,MODIS,31.75,6.03,300.7,9.2,D,1,Ampara
7.319236364,81.44314545,319.5787879,1.478787879,1.151515152,1/07/2002,2002-07,July,791.8787879,Terra,MODIS,57.90909091,6.03,291.8878788,16.44545455,D,0,Ampara
7.287413699,81.66868493,329.1876712,1.435616438,1.154794521,1/08/2002,2002-08,August,610.4520548,Terra,MODIS,66.06849315,6.03,300.5643836,21.95068493,D,0.02739726,Ampara
7.306256818,81.57046818,331.7454545,1.240909091,1.068181818,1/09/2002,2002-09,September,708.8863636,Terra,MODIS,66.61363636,6.03,304.3681818,23.47727273,D,0,Ampara
7.1353,81.8143,319.6,2.6,1.6,1/10/2002,2002-10,October,536,Terra,MODIS,0,6.03,297,32.8,D,0,Ampara
7.23408,81.7419,317.78,1.12,1.04,1/03/2003,2003-03,March,854.6,Terra,MODIS,58.4,6.03,299.4,9.1,N,0,Ampara
7.437533333,81.4728,321.1,1.266666667,1.1,1/04/2003,2003-04,April,715,Terra,MODIS,68.33333333,6.03,304.2666667,11.03333333,D,0,Ampara
7.4779,81.50736667,320.4666667,1.183333333,1.066666667,1/05/2003,2003-05,May,645.1666667,Terra,MODIS,61.66666667,6.03,296.95,10.03333333,D,0,Ampara
7.310742857,81.5869,321.2428571,1.4,1.128571429,1/06/2003,2003-06,June,655.1428571,Aqua,MODIS,58.57142857,6.03,297.4857143,14.67142857,D,0,Ampara
7.316263636,81.60149091,321.1454545,1.3,1.118181818,1/07/2003,2003-07,July,640.0909091,Aqua,MODIS,55.72727273,6.03,297.3090909,19.39090909,D,0,Ampara
7.285384,81.525896,325.304,1.7,1.248,1/08/2003,2003-08,August,711.92,Aqua,MODIS,65.32,6.03,297.188,31.148,D,0,Ampara
7.252486207,81.68889483,329.5551724,1.35862069,1.132758621,1/09/2003,2003-09,September,707.362069,Terra,MODIS,69.15517241,6.03,302.4689655,21.31896552,D,0.034482759,Ampara
7.065571429,81.77664286,320.5428571,1.771428571,1.285714286,1/10/2003,2003-10,October,721,Terra,MODIS,54.71428571,6.03,298.4142857,16.18571429,D,0,Ampara
7.4971,81.4712,314.7,1.1,1,1/02/2004,2004-02,February,809,Aqua,MODIS,55,6.03,298.7,6.1,D,0,Ampara
7.225966667,81.62153333,314.3333333,1.3,1.133333333,1/03/2004,2004-03,March,497.6666667,Terra,MODIS,47,6.03,297.8666667,8.066666667,D,0,Ampara
7.2128,81.75863333,316.5666667,1.633333333,1.233333333,1/04/2004,2004-04,April,577,Terra,MODIS,44,6.03,292.0333333,11.96666667,D,0,Ampara
7.3012,81.6392,324.2,1.43,1.18,1/05/2004,2004-05,May,620.2,Terra,MODIS,42.3,6.03,299.57,18.8,D,0,Ampara
7.357008163,81.40001837,326.0489796,1.26122449,1.093877551,1/06/2004,2004-06,June,732.4897959,Aqua,MODIS,67.28571429,6.03,300.8571429,20.56122449,D,0,Ampara
7.214092,81.597192,325.528,1.364,1.148,1/07/2004,2004-07,July,715.88,Terra,MODIS,57.28,6.03,294.516,28.42,D,0,Ampara
7.216430769,81.61566731,326.9788462,1.455769231,1.167307692,1/08/2004,2004-08,August,768.9038462,Terra,MODIS,65.34615385,6.03,299.1653846,24.06538462,D,0.038461538,Ampara
7.224259091,81.75734545,330.6272727,1.568181818,1.213636364,1/09/2004,2004-09,September,691.4090909,Terra,MODIS,58.54545455,6.03,295.2318182,30.29090909,D,0.090909091,Ampara
7.245966667,81.79096667,324.6666667,1.1,1.066666667,1/02/2005,2005-02,February,576.6666667,Terra,MODIS,66.66666667,6.03,302.1666667,12.23333333,D,0,Ampara
7.310825,81.786725,327.9125,1.075,1.0375,1/03/2005,2005-03,March,640,Terra,MODIS,61.375,6.03,306.675,12.125,D,0,Ampara
7.2024,81.8397,318.1,1.5,1.2,1/05/2005,2005-05,May,522,Terra,MODIS,0,6.03,300.4,13.8,D,0,Ampara
7.332266667,81.53936364,320.2818182,1.363636364,1.106060606,1/06/2005,2005-06,June,738.2727273,Aqua,MODIS,53.39393939,6.03,299.4454545,12.92121212,D,0.121212121,Ampara
7.347092,81.441848,321.44,1.536,1.184,1/07/2005,2005-07,July,764.72,Terra,MODIS,58.4,6.03,297.704,19.24,D,0,Ampara
7.218155882,81.67751471,325.7382353,1.492647059,1.188235294,1/08/2005,2005-08,August,710.6470588,Aqua,MODIS,65.54411765,6.03,297.1397059,21.17058824,D,0,Ampara
7.255371429,81.66306786,333.475,1.332142857,1.125,1/09/2005,2005-09,September,744.1071429,Aqua,MODIS,71.82142857,6.03,302.3,32.15357143,D,0.142857143,Ampara
7.1471,81.73595,318.425,2.825,1.55,1/10/2005,2005-10,October,651.75,Aqua,MODIS,26.25,6.03,295.3,33.8,D,0,Ampara
7.247116667,81.82011667,325.2333333,1.15,1.083333333,1/03/2006,2006-03,March,758.8333333,Aqua,MODIS,52.83333333,6.03,302.9333333,11.01666667,D,0,Ampara
7.285733333,81.65745,328.4166667,1.016666667,1,1/04/2006,2006-04,April,706.3333333,Aqua,MODIS,76.83333333,6.03,305.1333333,15.46666667,D,0,Ampara
7.31028125,81.5672375,324.9,1.4875,1.18125,1/06/2006,2006-06,June,715.125,Aqua,MODIS,60.5,6.03,300.34375,21.44375,D,0,Ampara
7.2535375,81.48005833,320.5458333,1.404166667,1.145833333,1/07/2006,2006-07,July,706.0416667,Terra,MODIS,57.54166667,6.03,294.25,16.46666667,D,0,Ampara
7.225572222,81.60551111,325.5888889,1.480555556,1.177777778,1/08/2006,2006-08,August,742.25,Terra,MODIS,62.36111111,6.03,297.7805556,24.51666667,D,0,Ampara
7.266258333,81.789125,325.85,1.425,1.166666667,1/09/2006,2006-09,September,622,Aqua,MODIS,57.91666667,6.03,298.6666667,17.26666667,D,0,Ampara
7.2038,81.45495,320.3,1.25,1.1,1/10/2006,2006-10,October,753,Aqua,MODIS,71,6.03,302.6,9.9,D,0,Ampara
7.2097,81.7846,321.5,1.1,1.1,1/02/2007,2007-02,February,812,Aqua,MODIS,52,6.03,297.7,6.1,D,0,Ampara
7.391159259,81.55967407,322.962963,1.614814815,1.225925926,1/03/2007,2007-03,March,717.1851852,Aqua,MODIS,54.25925926,6.03,304.6518519,20.71481481,D,0,Ampara
7.443266667,81.50113333,322.6,1.433333333,1.133333333,1/04/2007,2007-04,April,768.6666667,Aqua,MODIS,56,6.03,301.4666667,13.83333333,D,0,Ampara
7.2726,81.72346667,313.8666667,1.166666667,1.1,1/05/2007,2007-05,May,595.6666667,Terra,MODIS,16.33333333,6.03,290.4666667,8.2,D,0.666666667,Ampara
7.23886,81.64010667,322.6466667,1.226666667,1.086666667,1/06/2007,2007-06,June,658.6666667,Aqua,MODIS,55.53333333,6.03,300.1666667,13.47333333,D,0,Ampara
7.272253333,81.47478,326.7633333,1.273333333,1.106666667,1/07/2007,2007-07,July,683.9333333,Terra,MODIS,68.53333333,6.03,298.5866667,22.29666667,D,0,Ampara
7.2888,81.61473684,323.8684211,1.642105263,1.205263158,1/08/2007,2007-08,August,638.7894737,Aqua,MODIS,59.52631579,6.03,299.8736842,16.97894737,D,0,Ampara
7.198816667,81.58596667,330.0833333,1.15,1.033333333,1/09/2007,2007-09,September,745.6666667,Aqua,MODIS,70.33333333,6.03,299.6333333,21.33333333,D,0,Ampara
7.3888,81.7802,321.8,1.3,1.1,1/10/2007,2007-10,October,452,Terra,MODIS,30,6.03,294.2,13.9,D,0,Ampara
7.1455,81.7856,317.2,1.8,1.3,1/04/2008,2008-04,April,446,Terra,MODIS,26,6.03,295.1,14.1,D,0,Ampara
7.398125,81.533925,317.925,1.475,1.175,1/05/2008,2008-05,May,798.25,Aqua,MODIS,53.5,6.03,293.775,11.65,D,0,Ampara
7.317516667,81.57136667,317.2,1.716666667,1.216666667,1/06/2008,2008-06,June,752,Aqua,MODIS,49.66666667,6.03,296.6333333,12.51666667,D,0,Ampara
7.37011,81.35088,320.54,1.3,1.12,1/07/2008,2008-07,July,576.6,Aqua,MODIS,68,6.03,300.19,11.27,D,0,Ampara
7.270509524,81.74983175,326.6825397,1.253968254,1.114285714,1/08/2008,2008-08,August,669.2380952,Terra,MODIS,61.98412698,6.03,298.8825397,15.96984127,D,0.031746032,Ampara
7.211833333,81.52608,325.4733333,1.56,1.193333333,1/09/2008,2008-09,September,724.4666667,Aqua,MODIS,60.2,6.03,301.1066667,22.46,D,0,Ampara
7.04835,81.7148,318.45,2.45,1.4,1/10/2008,2008-10,October,466.5,Terra,MODIS,25,6.03,296.8,33.15,D,1,Ampara
7.240976923,81.79269231,321.6,1.330769231,1.123076923,1/02/2009,2009-02,February,654.6153846,Aqua,MODIS,57.84615385,6.03,302.1153846,14.05384615,D,0,Ampara
7.364783333,81.71645,324.7333333,1.033333333,1,1/03/2009,2009-03,March,651.1666667,Terra,MODIS,63,6.03,306.4666667,8.9,D,0,Ampara
7.449083333,81.42256667,323.0166667,1.183333333,1.083333333,1/05/2009,2009-05,May,867,Terra,MODIS,73.5,6.03,294.5666667,18.25,N,0,Ampara
7.354509091,81.45558788,320.0818182,1.227272727,1.075757576,1/06/2009,2009-06,June,772.5151515,Terra,MODIS,55.66666667,6.03,298.0969697,10.85757576,D,0,Ampara
7.284151163,81.6380093,324.5,1.488372093,1.174418605,1/07/2009,2009-07,July,681.6511628,Terra,MODIS,56.1627907,6.03,296.4674419,21.93488372,D,0,Ampara
7.252508696,81.69858478,324.9565217,1.334782609,1.12826087,1/08/2009,2009-08,August,767.8043478,Terra,MODIS,63.04347826,6.03,296.0913043,18.7826087,D,0,Ampara
7.218288889,81.60733889,327.7944444,1.65,1.205555556,1/09/2009,2009-09,September,674,Terra,MODIS,62.55555556,6.03,301.5277778,29.3,D,0,Ampara
7.0793,81.79425,333.25,1,1,1/10/2009,2009-10,October,802,Aqua,MODIS,65.5,6.03,302.8,17.2,D,0,Ampara
7.318718182,81.74871818,326.1681818,1.368181818,1.145454545,1/03/2010,2010-03,March,741.4545455,Aqua,MODIS,56.77272727,6.03,302.8318182,16.93636364,D,0,Ampara
7.0353,81.80113333,320.2666667,1.716666667,1.283333333,1/04/2010,2010-04,April,609.8333333,Aqua,MODIS,39.16666667,6.03,298.55,20.51666667,D,0,Ampara
7.265585714,81.79082857,316.7428571,1.428571429,1.185714286,1/05/2010,2010-05,May,562.8571429,Terra,MODIS,27.57142857,6.03,295.5,11.02857143,D,0.571428571,Ampara
6.996975,81.78655,319,1.25,1.1,1/06/2010,2010-06,June,570.25,Aqua,MODIS,43,6.03,298.15,11.35,D,0,Ampara
7.24084375,81.65050625,321.14375,1.45,1.1375,1/07/2010,2010-07,July,763.3125,Terra,MODIS,46.375,6.03,297.8625,12.9125,D,0.125,Ampara
7.285274138,81.69843966,328.3068966,1.279310345,1.106896552,1/08/2010,2010-08,August,665.7931034,Aqua,MODIS,61.20689655,6.03,299.0827586,20.13103448,D,0.068965517,Ampara
7.28854,81.643276,326.692,1.348,1.14,1/09/2010,2010-09,September,669.6,Terra,MODIS,58.12,6.03,301.08,16.972,D,0.08,Ampara
7.0427,81.724375,323.575,1.525,1.2,1/10/2010,2010-10,October,614.25,Terra,MODIS,41.75,6.03,302.475,17.975,D,0,Ampara
7.3078,81.7724,319.8,1.1,1.1,1/03/2011,2011-03,March,458,Terra,MODIS,49,6.03,296.6,9.2,D,0,Ampara
7.3796,81.3709,338,1,1,1/04/2011,2011-04,April,806,Aqua,MODIS,83,6.03,303.6,33,D,0,Ampara
7.06908,81.78636,318.98,1.42,1.16,1/05/2011,2011-05,May,667.8,Aqua,MODIS,48.2,6.03,296.06,15.62,D,0,Ampara
7.323465,81.477225,322.515,1.325,1.12,1/06/2011,2011-06,June,702.25,Terra,MODIS,61.85,6.03,298.555,15.535,D,0,Ampara
7.319157143,81.51705714,319.9,1.214285714,1.09047619,1/07/2011,2011-07,July,670.2380952,Terra,MODIS,59.9047619,6.03,292.8857143,13.23809524,D,0,Ampara
7.215327907,81.6568093,325.9395349,1.662790698,1.230232558,1/08/2011,2011-08,August,694.1162791,Aqua,MODIS,62.44186047,6.03,298.2790698,24.35116279,D,0,Ampara
7.284902857,81.72042857,327.5742857,1.557142857,1.205714286,1/09/2011,2011-09,September,650.9142857,Terra,MODIS,59.25714286,6.03,296.2742857,27.92571429,D,0.057142857,Ampara
7.2725,81.4949,322.7333333,1.066666667,1,1/10/2011,2011-10,October,793.3333333,Aqua,MODIS,72,6.03,295.1333333,13.73333333,D,0,Ampara
7.02125,81.7984,320.5,1,1,1/11/2011,2011-11,November,804.5,Aqua,MODIS,60,6.03,301.3,8.55,D,0,Ampara
7.2756375,81.69625,320.025,1.4,1.125,1/03/2012,2012-03,March,717.125,Aqua,MODIS,48.375,6.03,298.15,13.45,D,0,Ampara
7.115433333,81.81163333,315.1,1.533333333,1.166666667,1/04/2012,2012-04,April,617.3333333,Terra,MODIS,33,6.03,295.2333333,14.76666667,D,0.666666667,Ampara
7.349313333,81.44646,321.56,1.14,1.04,1/05/2012,2012-05,May,684.8666667,Terra,MODIS,50.33333333,6.03,295.9733333,12.80666667,D,0.133333333,Ampara
7.337022222,81.47666111,322.5611111,1.25,1.077777778,1/06/2012,2012-06,June,763.0555556,Aqua,MODIS,61.44444444,6.03,297.05,14.47222222,D,0,Ampara
7.207861538,81.66501538,327.1576923,1.523076923,1.169230769,1/07/2012,2012-07,July,698.8461538,Aqua,MODIS,58.57692308,6.03,304.1,21.43461538,D,0,Ampara
7.284927692,81.69210923,327.8646154,1.698461538,1.241538462,1/08/2012,2012-08,August,673.9384615,Terra,MODIS,57.89230769,6.03,298.2,28.89384615,D,0.061538462,Ampara
7.20598,81.59502,318.96,1.36,1.12,1/09/2012,2012-09,September,642.6,Aqua,MODIS,52.4,6.03,292.56,11.86,D,0,Ampara
7.346925,81.52005,321.35,1.075,1.05,1/10/2012,2012-10,October,647.5,Aqua,MODIS,49,6.03,299.725,8.825,D,0,Ampara
7.4346,81.4445,314.9,1.1,1,1/03/2013,2013-03,March,800,Aqua,MODIS,57,6.03,299.3,7.1,D,0,Ampara
7.266338462,81.48375385,315.5153846,1.269230769,1.092307692,1/06/2013,2013-06,June,758,Aqua,MODIS,55.46153846,6.03,293.6307692,9.238461538,D,0.153846154,Ampara
7.226064286,81.67481429,319.2,1.428571429,1.135714286,1/07/2013,2013-07,July,844.6428571,Terra,MODIS,40.64285714,6.03,298.5357143,13.85714286,D,0.142857143,Ampara
7.267460377,81.75516038,327.8132075,1.401886792,1.164150943,1/08/2013,2013-08,August,630.6415094,Terra,MODIS,61.71698113,6.03,300.8792453,18.49811321,D,0,Ampara
7.355057143,81.44711429,321.9428571,1.442857143,1.157142857,1/09/2013,2013-09,September,661.2857143,Terra,MODIS,59.42857143,6.03,298.0285714,18.94285714,D,0,Ampara
7.34833,81.51089,325.99,1.15,1.07,1/10/2013,2013-10,October,600.4,Terra,MODIS,64.2,6.03,298.98,16.54,D,0,Ampara
6.99,81.7991,320,1,1,1/11/2013,2013-11,November,800,Aqua,MODIS,72,6.03,292.5,11.7,D,0,Ampara
7.234725,81.8117,321.775,1.125,1.05,1/03/2014,2014-03,March,642.25,Terra,MODIS,63.25,6.03,300.5,10.425,D,0,Ampara
7.408075,81.6573,325.35,1.275,1.1,1/04/2014,2014-04,April,587.75,Aqua,MODIS,41,6.03,302.075,14.775,D,0,Ampara
7.2072,81.761,320.7,1,1,1/05/2014,2014-05,May,511,Terra,MODIS,62,6.03,306.1,10.3,D,0,Ampara
7.329465,81.42958,320.65,1.715,1.23,1/06/2014,2014-06,June,779.65,Aqua,MODIS,61.7,6.03,299.12,18.225,D,0,Ampara
7.273425532,81.54214255,323.9148936,1.438297872,1.161702128,1/07/2014,2014-07,July,717,Terra,MODIS,61.82978723,6.03,298.8276596,18.39574468,D,0,Ampara
7.257072727,81.68023409,326.4340909,1.238636364,1.1,1/08/2014,2014-08,August,732.4090909,Aqua,MODIS,63.06818182,6.03,294.5568182,18.19090909,D,0,Ampara
7.205775,81.526675,326.6,1.725,1.25,1/09/2014,2014-09,September,712.125,Aqua,MODIS,46.625,6.03,298.9375,28.05,D,0,Ampara
6.89015,81.80375,311.55,3.9,1.8,1/10/2014,2014-10,October,428,Terra,MODIS,24.5,6.03,290.8,42.3,D,0,Ampara
7.0416,81.8149,320.9,1,1,1/11/2014,2014-11,November,505,Terra,MODIS,71,6.03,299.8,8.8,D,0,Ampara
7.1699,81.7513,315.95,1.3,1.1,1/01/2015,2015-01,January,779.5,Aqua,MODIS,68.5,6.03,298.7,10.35,D,0,Ampara
7.3186,81.7374,326.3,1.1,1,1/04/2015,2015-04,April,812,Aqua,MODIS,48,6.03,306.5,13.4,D,0,Ampara
7.2084,81.726325,319.95,1.2,1.075,1/05/2015,2015-05,May,575.5,Aqua,MODIS,53,6.03,297.35,11.5,D,0,Ampara
7.20405,81.6023,317.6,1.1,1,1/06/2015,2015-06,June,656,Terra,MODIS,55,6.03,299.05,7.55,D,0,Ampara
7.263147059,81.54068824,320.2,1.164705882,1.070588235,1/07/2015,2015-07,July,792.4117647,Terra,MODIS,64.70588235,6.03,297.5764706,11.63529412,D,0,Ampara
7.260657692,81.70447308,327.3641026,1.430769231,1.15,1/08/2015,2015-08,August,667.3589744,Terra,MODIS,61.6025641,6.03,299.6012821,21.32307692,D,0,Ampara
7.221006667,81.54844,322.14,1.246666667,1.086666667,1/09/2015,2015-09,September,779.6,Aqua,MODIS,64.06666667,6.03,296.5133333,16.98666667,D,0,Ampara
6.8898,81.7817,314.2,3.4,1.7,1/10/2015,2015-10,October,542,Terra,MODIS,41,6.03,293.6,33.7,D,0,Ampara
7.1285,81.8183,321.5,1,1,1/02/2016,2016-02,February,759,Aqua,MODIS,66,6.03,306.3,7.3,D,0,Ampara
7.277111111,81.7248,325.9,1.388888889,1.177777778,1/03/2016,2016-03,March,581.4444444,Terra,MODIS,61.44444444,6.03,305.7111111,17.74444444,D,0,Ampara
7.194585714,81.79914286,317.7857143,2.685714286,1.542857143,1/04/2016,2016-04,April,586.1428571,Terra,MODIS,36.14285714,6.03,297.1714286,29.82857143,D,0,Ampara
7.2417,81.6741,322.4,1,1,1/05/2016,2016-05,May,806,Aqua,MODIS,72,6.03,303.8,6.3,D,0,Ampara
7.2888625,81.423275,318.2875,1.0875,1,1/06/2016,2016-06,June,760.625,Aqua,MODIS,51.25,6.03,294.675,8.4875,D,0,Ampara
7.322877778,81.49335556,320.0722222,1.344444444,1.144444444,1/07/2016,2016-07,July,759.7777778,Aqua,MODIS,63.33333333,6.03,296.2111111,14.51111111,D,0,Ampara
7.249438462,81.72721538,326.0269231,1.480769231,1.180769231,1/08/2016,2016-08,August,700.1153846,Terra,MODIS,65.80769231,6.03,299.2346154,18.98846154,D,0,Ampara
7.289739394,81.6220303,325.4666667,1.372727273,1.136363636,1/09/2016,2016-09,September,699.1515152,Aqua,MODIS,58.84848485,6.03,299.0606061,16.81212121,D,0,Ampara
7.33044,81.56689,318.5,1.8,1.27,1/10/2016,2016-10,October,1084.8,Aqua,MODIS,58.8,6.03,297.79,19.7,D,0,Ampara
7.318683333,81.80431667,327.15,1.683333333,1.25,1/03/2017,2017-03,March,774.3333333,Aqua,MODIS,48,6.03,306.5,20.06666667,D,0.333333333,Ampara
7.091566667,81.69626667,317.8,1.066666667,1.033333333,1/04/2017,2017-04,April,709.3333333,Terra,MODIS,49,6.03,296.6333333,9.133333333,D,0,Ampara
7.3757,81.51293333,316.5,1.533333333,1.166666667,1/05/2017,2017-05,May,699.6666667,Aqua,MODIS,34,6.03,292.5333333,14.56666667,D,0,Ampara
7.300844444,81.50845556,320,1.188888889,1.077777778,1/06/2017,2017-06,June,633.4444444,Aqua,MODIS,53.88888889,6.03,299,10.76666667,D,0,Ampara
7.151966667,81.65615,319.5666667,2.15,1.433333333,1/07/2017,2017-07,July,622.6666667,Terra,MODIS,40.66666667,6.03,297.9666667,23.85,D,0,Ampara
7.179269231,81.70344615,324.2461538,1.638461538,1.207692308,1/08/2017,2017-08,August,661.3846154,Aqua,MODIS,51.46153846,6.03,299.4384615,19.8,D,0,Ampara
7.25406,81.4581,322.58,1.42,1.16,1/09/2017,2017-09,September,691.6,Aqua,MODIS,61.6,6.03,294.76,20.5,D,0,Ampara
7.085675,81.7282,321.35,3.025,1.625,1/10/2017,2017-10,October,684.25,Aqua,MODIS,39.25,6.03,293.75,42.775,D,0,Ampara
7.3237,81.64293333,322.6333333,1.033333333,1.033333333,1/03/2018,2018-03,March,611.3333333,Terra,MODIS,64.33333333,6.03,303.4333333,10.43333333,D,0,Ampara
7.3674,81.51904,316.6,1.28,1.12,1/06/2018,2018-06,June,601.2,Terra,MODIS,47,6.03,294.74,11.32,D,0.4,Ampara
7.171207692,81.64791538,324.2769231,1.346153846,1.123076923,1/07/2018,2018-07,July,685.5384615,Aqua,MODIS,58.76923077,6.03,299.0769231,17.75384615,D,0,Ampara
7.312876087,81.59213043,321.7,1.206521739,1.069565217,1/08/2018,2018-08,August,735.673913,Aqua,MODIS,60.45652174,6.03,291.0608696,14.61304348,D,0.043478261,Ampara
7.21340625,81.62885,326.50625,1.46875,1.16875,1/09/2018,2018-09,September,687.4375,Terra,MODIS,54.4375,6.03,301.4125,17.98125,D,0.125,Ampara
6.90435,81.80985,312.375,3,1.65,1/10/2018,2018-10,October,509.25,Terra,MODIS,8.25,6.03,292.85,31.225,D,0,Ampara
6.9975,81.7956,314.9,1.3,1.1,1/11/2018,2018-11,November,817,Aqua,MODIS,56,6.03,300.1,8.6,D,0,Ampara
7.285733333,81.66299333,323.6866667,1.22,1.086666667,1/03/2019,2019-03,March,740.1333333,Terra,MODIS,56.73333333,6.03,306.18,11.54,D,0,Ampara
7.25556,81.6771,321.36,1.6,1.22,1/04/2019,2019-04,April,805,Aqua,MODIS,38.2,6.03,299.96,16.48,D,0,Ampara
7.348807692,81.7555,320.3076923,1.476923077,1.184615385,1/05/2019,2019-05,May,589.4615385,Terra,MODIS,33.30769231,6.03,301.7461538,14.35384615,D,0,Ampara
7.3511,81.54430667,320.7733333,1.206666667,1.086666667,1/06/2019,2019-06,June,783.2666667,Terra,MODIS,54.4,6.03,299.3933333,12.42666667,D,0,Ampara
7.309053333,81.57692,318.72,1.393333333,1.153333333,1/07/2019,2019-07,July,698.2666667,Terra,MODIS,49.73333333,6.03,293.9,13.5,D,0,Ampara
7.29065,81.69442,323.45,1.495,1.17,1/08/2019,2019-08,August,696.6,Terra,MODIS,52.8,6.03,292.485,19.46,D,0,Ampara
7.2698375,81.578275,323.0625,1.0375,1.0125,1/09/2019,2019-09,September,688.125,Terra,MODIS,39,6.03,299.3375,9.0125,D,0.25,Ampara
6.99685,81.8167,315.3,3.4,1.7,1/10/2019,2019-10,October,541,Terra,MODIS,0,6.03,290.9,52.7,D,0,Ampara
7.30548125,81.7636,321.5375,1.38125,1.11875,1/02/2020,2020-02,February,826.375,Terra,MODIS,57.0625,6.03,300.18125,14.9625,N,0,Ampara
7.329466667,81.56471111,317.7555556,1.122222222,1.044444444,1/03/2020,2020-03,March,1028.555556,Terra,MODIS,64.11111111,6.03,299.9,10.36666667,N,0,Ampara
7.20008,81.6443,319.62,1.42,1.14,1/04/2020,2020-04,April,734.2,Aqua,MODIS,48.2,6.03,299.3,13.44,D,0,Ampara
7.30728,81.78758,316.62,1.36,1.14,1/05/2020,2020-05,May,646.8,Terra,MODIS,44.4,6.03,297.06,10.32,D,0,Ampara
7.26048,81.76986,317.94,1.5,1.22,1/06/2020,2020-06,June,475.6,Terra,MODIS,22.8,6.03,297.6,13.18,D,0.4,Ampara
7.1657,81.77486,323.4,1.18,1.06,1/07/2020,2020-07,July,872.4,Terra,MODIS,62.8,6.03,297.68,13.9,N,0,Ampara
7.269545,81.59799,325.83,1.16,1.07,1/08/2020,2020-08,August,696.8,Terra,MODIS,63.05,6.03,299.54,14.005,D,0,Ampara
7.35545,81.45215,318,1.25,1.1,1/09/2020,2020-09,September,635,Aqua,MODIS,61.5,6.03,294.55,9.9,D,0,Ampara
7.39665,81.35955,319.15,1.05,1,1/10/2020,2020-10,October,808,Aqua,MODIS,60.5,6.03,291.1,9.65,D,0,Ampara
7.30582,81.7648,323.54,1.16,1.1,1/03/2021,2021-03,March,525.6,Terra,MODIS,46.8,6.03,300.6,11.78,D,0,Ampara
7.2635,81.6398,305.4,1.3,1.1,1/04/2021,2021-04,April,1710,Terra,MODIS,29,6.03,281.5,9.6,N,0,Ampara
7.2066,81.7626,317.3,1.1,1,1/05/2021,2021-05,May,811,Aqua,MODIS,63,6.03,297.1,7.2,D,0,Ampara
7.377666667,81.41086667,319.2833333,1.183333333,1.066666667,1/06/2021,2021-06,June,674.3333333,Aqua,MODIS,55.16666667,6.03,301.85,9.983333333,D,0.333333333,Ampara
7.2582,81.778,322.025,1.375,1.15,1/07/2021,2021-07,July,693.25,Terra,MODIS,52,6.03,297,16.2,D,0.5,Ampara
7.233823077,81.74564231,320.8730769,1.230769231,1.096153846,1/08/2021,2021-08,August,679.2692308,Terra,MODIS,54.5,6.03,290.3038462,11.93846154,D,0,Ampara
7.196025,81.491025,322.1,1.3375,1.1125,1/09/2021,2021-09,September,741,Aqua,MODIS,54.375,6.03,297.8,14.8375,D,0,Ampara
7.22866,81.7549,320.52,1.76,1.24,1/10/2021,2021-10,October,716.8,Terra,MODIS,53,6.03,296.7,23.4,D,0,Ampara
7.25965,81.6697,316.3,1.75,1.3,1/04/2022,2022-04,April,469.5,Terra,MODIS,41,6.03,296,16.55,D,0,Ampara
7.1745,81.6047,315.4,2,1.3,1/05/2022,2022-05,May,462.5,Terra,MODIS,51.5,6.03,291.45,15.45,D,0,Ampara
7.261033333,81.51751111,314.5,1.033333333,1,1/06/2022,2022-06,June,850.3333333,Terra,MODIS,61.44444444,6.03,291.0777778,7.388888889,D,0,Ampara
7.339176923,81.49687692,323.2769231,1.092307692,1.038461538,1/07/2022,2022-07,July,792.5384615,Aqua,MODIS,63.38461538,6.03,296.4153846,14.43846154,D,0,Ampara
7.2769375,81.7587125,322.425,1.19375,1.0875,1/08/2022,2022-08,August,611.875,Terra,MODIS,58.875,6.03,295.625,11.675,D,0,Ampara
7.1755,81.66011111,324.9,1.288888889,1.088888889,1/09/2022,2022-09,September,783.1111111,Aqua,MODIS,60.11111111,6.03,298.6555556,19.56666667,D,0,Ampara
