Date,Value,Category,SubCategory,Source
2000,5259,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2001,5238,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2002,5502,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2003,6208,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2004,6666,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2005,7255,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2006,7832,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2007,8276,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2008,8417,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2009,8441,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2010,9268,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2011,10024,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2012,10475,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2013,10621.4518,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2014,11063.113,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2015,11786.36,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2016,12785.332,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2017,13430,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2018,14091,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2019,14612,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2020,14286,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
2021,15214,ENERGY annual values,ENERGY Electricity (kWh million) Imports Imports of services Gross capital formation Changes in inventories,adb
